exit_family,side,horizon_min,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,exit_catalog_score
breakeven_ratchet,long,240,19942,19942,19587,17723,341.0,1430,21.86616957187653,14.328685402870178,-3.2241586595773697,0.1199143163919448,0.0417179492801427,0.702510025,0.8921219250000001,100.0,10.841440176511885,100.0,14.78041484951973,67,1,9,4.057591623036649,v6_28d858af6439dc2b01,321,higher_confidence_watchlist,0.8911764705882353
runner_trail,long,240,20674,20674,16788,16042,340.0,3795,19.61088627576828,9.952736645936966,-3.2241586595773697,0.1032176452636718,0.027894037041366,0.6119848500000001,0.8746557749999998,100.0,7.937506046241656,100.0,10.404466092586517,94,1,9,6.079664570230608,v6_a007baac46dfabbc59,196,higher_confidence_watchlist,0.8755882352941177
state_machine,long,240,20312,20312,17355,14130,341.0,3795,23.294341564178467,10.232578217983246,-3.2241586595773697,0.1291272972822189,0.0264863863670825,0.5991981,0.8802921750000001,100.0,7.360181173690429,100.0,10.684307664632797,109,1,7,5.895691609977324,v6_bb5a10b92455024a2a,321,higher_confidence_watchlist,0.8732352941176471
time_decay,long,240,16329,16329,13448,11740,341.0,1401,19.248196482658383,11.178603768348694,-4.224158823490143,0.0953066144585609,0.0305312941426038,0.6078482250000001,0.8776552000000001,100.0,0.6981444056586441,100.0,11.630333214998245,96,1,6,5.895691609977324,v6_2e078d5e7379ffb44f,141,higher_confidence_watchlist,0.8600000000000001
indicator_invalidation,long,240,4050,4050,3381,2668,220.0,954,19.70979869365692,10.496475547552109,-5.224158987402916,0.0950864667028188,0.0293651884377002,0.549899625,0.8858094000000001,100.0,17.308641975308642,100.0,10.94820499420166,26,1,7,12.5,v6_ef65d121e8a0c33a26,321,higher_confidence_watchlist,0.8476470588235294
failed_continuation,long,240,11422,11422,9742,9659,462.0,1401,20.80548107624054,9.582211822271349,-5.224158987402916,0.112740041321516,0.0234386749029159,0.5856012250000001,0.86589085,100.0,7.362983715636491,100.0,10.0339412689209,55,1,7,6.079664570230608,v6_8f21b07ab27a9ca722,68,validated_watchlist,0.8458823529411764
fixed_tp_sl,long,240,8804,8804,7926,7637,347.0,3795,7.775840908288956,4.775841161608696,-2.2241588681936264,0.0422429661273956,0.0114529001183807,0.5012349,0.688776225,100.0,21.092685143116764,100.0,5.227570608258247,69,1,7,4.057591623036649,v6_ca60f9ead3c1807ba3,321,higher_confidence_watchlist,0.8273529411764706
partial_ladder,long,240,14175,14175,11028,10981,341.0,3795,13.00937682390213,5.460014194250107,-3.2241586595773697,0.0632121539682149,0.013397256976366,0.48915695000000003,0.7950693250000002,100.0,2.4479717813051147,100.0,5.911743640899658,86,1,8,6.079664570230608,v6_58bc6eedb077fcdf78,321,higher_confidence_watchlist,0.8235294117647058
multi_tp_sl,long,240,7095,7095,6609,5869,420.0,3795,11.775840818881989,4.275841265916824,-3.2241586595773697,0.061542965516448,0.0101070270985364,0.46918675000000004,0.7410603750000001,100.0,5.835095137420719,100.0,4.727570712566376,74,1,8,6.079664570230608,v6_f659bda7526d587034,321,higher_confidence_watchlist,0.8108823529411764
prove_or_exit,long,240,1634,1634,1348,326,60.0,284,17.454664409160614,6.878677010536194,-3.2241586595773697,0.0559491820301115,0.0192557456570863,0.5572741999999999,0.7220541,100.0,0.0,100.0,7.330406457185745,13,1,5,16.666666666666664,v6_997445e7aff00de3b8,60,validated_watchlist,0.7216176470588235
state_machine,long,60,730,730,609,517,110.0,252,0.9894708171486856,0.7613686844706535,-0.9347726590931416,0.0034037311820313,0.0021921558856964,0.43030605,0.465449025,100.0,8.356164383561644,100.0,1.213098131120205,19,1,3,10.92436974789916,v6_54789516a3b59f96d5,203,higher_confidence_watchlist,0.7182352941176471
time_decay,short,240,1041,1041,0,0,38.0,46,23.821711540222168,10.9841451048851,-4.224158823490143,0.0724035139203071,0.0276120313966274,0.5600098,0.72169575,100.0,0.0,100.0,11.435874551534651,14,1,4,28.947368421052637,v6_fc8c485029e44f9413,34,exploratory_watchlist,0.7180882352941177
state_machine,long,120,2594,2594,1994,897,80.0,252,3.7374578416347504,2.043978124856949,-3.2241586595773697,0.010460936563462,0.004523625222221,0.37836990000000004,0.5222600000000001,100.0,0.6168080185042405,100.0,2.4957075715065002,35,1,6,12.5,v6_e85033808beead644d,72,validated_watchlist,0.7064705882352941
breakeven_ratchet,long,120,4060,4060,3582,3582,206.0,400,1.6994737088680267,0.8085869252681732,-1.363468915224075,0.0061624988628551,0.0030882246334105,0.44215030000000005,0.49948712500000003,100.0,0.0,100.0,1.2603163719177246,10,1,4,2.75,v6_5ce75e75efb7d471c9,186,higher_confidence_watchlist,0.6951470588235293
runner_trail,long,120,3121,3121,1291,969,42.0,255,8.97265374660492,2.180086076259613,-3.5489805042743683,0.0289183187393915,0.0046031012699007,0.364835625,0.5316487,100.0,0.5126561999359179,100.0,2.6318155229091644,28,1,6,18.29268292682927,v6_f5467e06cc08d1bb98,33,exploratory_watchlist,0.6941176470588235
breakeven_ratchet,short,240,465,465,0,0,36.0,38,14.956560730934145,11.70533522963524,-5.224158987402916,0.0366754855960607,0.0259161963415145,0.5000273,0.5223282500000002,100.0,0.0,100.0,12.157064676284792,3,1,2,23.809523809523807,v6_c0eed5ab8431a36210,21,early_alpha,0.6582352941176471
time_decay,long,60,931,931,487,0,68.0,68,0.5452086217701435,0.5452086217701435,-0.4807930905371904,0.0031557407287508,0.0028557407287508,0.40841940000000004,0.41613655,100.0,9.774436090225564,100.0,0.9969380684196949,5,1,3,16.176470588235293,v6_7c40b7f9a1ce8c58c6,68,validated_watchlist,0.65
partial_ladder,long,120,795,795,220,0,37.0,83,4.402549564838409,1.688629575073719,-1.977499946951866,0.0136913924150417,0.004499128011167,0.39723005000000006,0.49122035,100.0,0.0,100.0,2.1403590217232704,13,1,4,10.81081081081081,v6_66b4485ff6e60ff2de,33,exploratory_watchlist,0.6372058823529412
fixed_tp_sl,long,120,812,812,666,229,64.0,347,2.9460273683071136,2.1791838109493256,-3.339961916208267,0.0074697200253605,0.0051885361168533,0.40266347499999994,0.46737922500000006,100.0,0.0,100.0,2.630913257598877,14,1,4,15.0,v6_c1f4436eb266aa6d21,58,validated_watchlist,0.636029411764706
failed_continuation,long,60,3390,3390,0,0,42.0,42,0.922849029302597,0.4713915288448334,-0.3880031406879425,0.0029572578985244,0.0026572578985244,0.426038575,0.431175125,100.0,0.0,100.0,0.9231209754943848,5,1,4,28.57142857142857,v6_afd57bb7682fd2e1a9,42,exploratory_watchlist,0.6213235294117647
state_machine,short,240,245,245,0,0,43.0,43,6.498824805021286,4.958824440836906,-3.2241586595773697,0.0142934108388423,0.008903409564197,0.431189625,0.467145775,100.0,0.0,100.0,5.410553887486458,3,1,2,20.930232558139537,v6_bfd631c5892614a5bb,43,exploratory_watchlist,0.6002941176470589
state_machine,long,30,785,785,252,0,46.0,79,2.902502194046974,0.7847234606742859,-1.3144821859896183,0.0060047371602912,0.0025727124296128,0.39894162499999997,0.45320127500000007,100.0,0.0,100.0,1.2364529073238373,7,1,4,18.9873417721519,v6_8d6eafae4b4718ffdf,41,exploratory_watchlist,0.5991176470588235
multi_tp_sl,long,120,327,327,144,144,33.0,119,2.276559919118881,1.369466632604599,-1.1770941317081451,0.0051924041999131,0.0022508598560094,0.392822975,0.47330615,100.0,0.0,100.0,1.8211960792541504,8,1,3,9.243697478991598,v6_9902b38042877522c2,119,higher_confidence_watchlist,0.5947058823529412
prove_or_exit,long,15,261,261,0,0,29.0,43,1.8004221841692924,1.6055865213274956,-1.579781249165535,0.0053847340144962,0.004542937417855,0.42385314999999996,0.4539777999999999,100.0,0.0,100.0,2.057315967977047,6,1,2,41.86046511627907,v6_943dba95ce5136fb3b,29,early_alpha,0.5869117647058824
runner_trail,long,60,1497,1497,860,652,82.0,213,3.535359352827072,1.1816519312560558,-2.353016287088394,0.0079815760175032,0.0027928001838736,0.3776337,0.4491594499999999,100.0,0.0,100.0,1.6333813779056072,16,1,5,18.29268292682927,v6_6dda28880c290b6b8d,116,higher_confidence_watchlist,0.5836764705882352
indicator_invalidation,long,120,1106,1106,173,0,32.0,64,3.2415375113487244,2.2905174642801285,-5.224158987402916,0.0078812654912099,0.0033905078031122,0.34822987500000013,0.46273555,100.0,0.0,100.0,2.74224691092968,13,1,5,16.0,v6_b1e3e9ba4a6843a418,32,exploratory_watchlist,0.5625
multi_tp_sl,long,60,283,283,0,0,36.0,42,0.6940302439033985,0.6453417241573334,-0.5167819559574127,0.003147984131053,0.0021982501585036,0.41439237500000004,0.43739789999999995,100.0,0.0,100.0,1.0970711708068848,3,1,2,30.55555555555556,v6_e3aaf3ac764432424c,36,exploratory_watchlist,0.5620588235294118
runner_trail,short,15,129,129,0,0,23.0,23,2.7148937806487083,1.9148938357830048,-1.2695886194705963,0.0090450480708852,0.0090042048495262,0.377761,0.40318770000000004,100.0,34.10852713178294,100.0,2.366623282432556,1,1,1,34.78260869565217,v6_ce6d2920b4e69b84f5,23,early_alpha,0.5404411764705882
partial_ladder,long,60,645,645,0,0,25.0,45,2.6010997593402863,1.1764099821448326,-2.6526443660259247,0.0066570523900911,0.0025015978152304,0.290435825,0.4858214250000001,100.0,0.0,100.0,1.628139428794384,5,1,5,54.54545454545454,v6_a72773590fc9201048,41,exploratory_watchlist,0.5360294117647059
fixed_tp_sl,long,60,31,31,13,0,40.0,54,2.7758410200476646,2.7758410200476646,-2.991103008389473,0.0069254185583442,0.0069254185583442,0.4239104,0.4404448750000001,100.0,0.0,100.0,3.227570466697216,2,1,2,10.0,v6_59254e7a5bf1c1bdff,54,validated_watchlist,0.5320588235294118
prove_or_exit,long,120,596,596,135,0,29.0,85,4.8769161105155945,4.35279980301857,-5.224158987402916,0.0104486077228239,0.0073474805182218,0.37741187500000006,0.4013582750000001,100.0,0.0,100.0,4.804529249668121,7,1,4,37.93103448275862,v6_23541cd41ca489fa59,29,early_alpha,0.5070588235294118
multi_tp_sl,long,30,158,158,44,0,29.0,72,1.983034797012806,0.6758410483598709,-1.0869727469980717,0.0020626101707667,0.0017881753135472,0.38056700000000004,0.412536425,100.0,0.0,100.0,1.1275704950094223,5,1,2,19.230769230769237,v6_7fd0e13cf56b0cad07,58,validated_watchlist,0.49926470588235294
time_decay,long,120,470,470,0,0,38.0,38,2.4090593680739403,2.2954758256673813,-4.224158823490143,0.005259242747724,0.004959242747724,0.38853194999999996,0.3902506499999999,100.0,0.0,100.0,2.7472052723169327,5,1,3,28.947368421052637,v6_9e119e275ee5726235,38,exploratory_watchlist,0.49897058823529405
state_machine,long,15,432,432,0,0,21.0,39,0.9797129780054092,0.9253040887415408,-0.866276491433382,0.0035006136581301,0.0025019802361726,0.35206352500000004,0.42346354999999997,100.0,0.0,100.0,1.3770335353910923,4,1,1,19.047619047619047,v6_3dde8a5480da594d3c,39,exploratory_watchlist,0.49058823529411755
prove_or_exit,long,10,613,613,307,0,51.0,93,1.491658203303814,1.0889433324337006,-1.408687885850668,0.0040089838804304,0.0028571293281018,0.3623542,0.39593232500000003,100.0,0.0,100.0,1.540672779083252,8,1,2,26.47058823529412,v6_239efcbdf99178702a,33,exploratory_watchlist,0.48441176470588243
runner_trail,long,30,141,141,71,71,101.0,101,2.7136992663145065,1.6079561784863472,-3.120378404855728,0.0036484461743384,0.0022781674228608,0.38127615000000004,0.40245732500000003,100.0,0.0,100.0,2.0596856251358986,2,1,2,14.85148514851485,v6_7b9654a28f39763ed0,101,higher_confidence_watchlist,0.4761764705882353
runner_trail,long,15,253,253,75,75,44.0,106,0.9954236447811128,0.7435363717377186,-1.3605214655399325,0.0025224187478423,0.0014060266447812,0.33996680000000007,0.423962775,100.0,0.0,100.0,1.19526581838727,5,1,1,34.090909090909086,v6_ecd3eee9a4cb166472,106,higher_confidence_watchlist,0.47544117647058826
trailing_stop,long,240,20193,20193,17981,16228,441.0,3795,2.1675296127796173,-0.5184547044336796,-5.224158987402916,0.0040451727762818,-0.0108782978964597,0.163120575,0.45546277500000004,7.824493636408657,0.0,100.0,-0.06672525778412819,110,1,8,7.209136331192005,v6_d43d91611161be68f6,321,higher_confidence_watchlist,0.4645588235294118
runner_trail,long,10,39,39,39,0,92.0,92,0.3236569929867983,0.3236569929867983,-0.8509529754519463,0.0015218067482032,0.0015218067482032,0.395980375,0.395980375,100.0,0.0,100.0,0.7753864396363497,2,1,1,43.47826086956522,v6_d1b87ab037a3f9ca9f,92,validated_watchlist,0.46058823529411763
partial_ladder,long,30,11,11,0,0,27.0,27,0.5061283707618713,0.5061283707618713,-0.2126625971868634,0.0018317447898219,0.0018317447898219,0.39602670000000006,0.39602670000000006,100.0,0.0,100.0,0.9578578174114227,1,1,1,37.03703703703704,v6_d89a88fb9a43c60d76,27,early_alpha,0.4426470588235294
runner_trail,long,5,346,346,79,0,48.0,59,0.4627141170203686,0.2329518320038914,-0.4773540887981653,0.0023837836093269,0.0018578705458529,0.36906747500000003,0.424544225,13.005780346820808,0.0,100.0,0.6846812786534429,5,1,3,29.166666666666668,v6_f68e1442d261a1f02f,59,validated_watchlist,0.4322058823529411
partial_ladder,long,5,22,22,0,0,28.0,28,0.4593365360051393,0.4593365360051393,-0.5240644328296185,0.0018963994059711,0.0018963994059711,0.3927135250000001,0.3927135250000001,100.0,0.0,100.0,0.9110659826546907,1,1,1,32.142857142857146,v6_6b4df70ebbc53b06b7,28,early_alpha,0.4302941176470588
state_machine,long,5,450,450,152,0,31.0,58,0.751950591802597,0.4818515852093696,-0.5554814357310534,0.002692957342565,0.0019444716272503,0.3719462250000001,0.41109735,66.22222222222223,0.0,100.0,0.933581031858921,4,1,1,29.03225806451613,v6_4c51bf7a22318287d9,58,validated_watchlist,0.4273529411764706
state_machine,short,30,144,144,0,0,25.0,25,0.8490679785609245,0.8309493772685528,-0.8629730902612209,0.0026210775585472,0.0026210775585472,0.37146742499999996,0.37146742499999996,100.0,0.0,100.0,1.2826788239181042,1,1,1,24.0,v6_7de290e03165fc1e6a,25,early_alpha,0.41999999999999993
indicator_invalidation,long,30,88,88,0,0,30.0,30,0.5363653879612684,0.5363653879612684,-0.906839780509472,0.0016435022342577,0.0016435022342577,0.3523876000000001,0.3523876000000001,100.0,0.0,100.0,0.9880948346108198,1,1,2,26.666666666666668,v6_c9fd493cbac4c45c1e,30,exploratory_watchlist,0.386764705882353
multi_tp_sl,short,30,22,22,0,0,25.0,25,0.9758410975337029,0.9758410975337029,-0.9339524433016776,0.0022620307234674,0.0022620307234674,0.35715635,0.35715635,100.0,0.0,100.0,1.4275705441832542,1,1,1,24.0,v6_858bee020f1b70a0b6,25,early_alpha,0.3767647058823529
trailing_stop,long,10,8100,8100,6402,3927,94.0,3795,0.2192706568166613,-0.1705543370917439,-1.0596773587167263,-0.0014869192792875,-0.0025083001919649,0.27633372500000003,0.360248725,0.0,0.0,100.0,0.2811751095578075,33,1,6,33.33333333333333,v6_831c72a7181d938e81,94,validated_watchlist,0.37117647058823533
multi_tp_sl,long,15,130,130,0,0,30.0,30,1.606506109237671,1.606506109237671,-1.884825900197029,0.0025673285621404,0.0024173285621404,0.33229580000000003,0.33530905,100.0,0.0,100.0,2.0582355558872223,2,1,2,26.666666666666668,v6_7de084ff624f580fd2,30,exploratory_watchlist,0.36411764705882355
trailing_stop,long,5,3188,3188,1329,883,39.0,3032,0.2128981286659836,0.0559531385079026,-0.6358877755701542,0.0013096171192452,-0.0009211846447177,0.324141775,0.33851687500000005,0.0,0.0,100.0,0.507682585157454,18,1,4,32.142857142857146,v6_d59eae0b6cdb6bfe5a,59,validated_watchlist,0.3630882352941176
trailing_stop,long,15,6364,6364,4656,3200,117.0,3659,0.1828402979299426,-0.1693801255896687,-0.9434334002435208,-0.0011276837277971,-0.0028869129030965,0.2797849,0.3478158,0.0,0.0,100.0,0.2823493210598827,33,1,6,19.33333333333333,v6_7067294221e65e3715,146,higher_confidence_watchlist,0.35911764705882354
multi_tp_sl,long,5,47,47,0,0,26.0,26,0.4680784419178962,0.4680784419178962,-0.4868514835834503,0.0013890457903593,0.0013890457903593,0.33639150000000007,0.33639150000000007,100.0,0.0,100.0,0.9198078885674477,1,1,1,19.230769230769237,v6_a4c9e3d204343a1ace,26,early_alpha,0.3497058823529412
indicator_invalidation,short,240,179,179,0,0,33.0,33,1.7273325473070145,1.7273325473070145,-2.2241588681936264,0.0007531873109936,0.0007531873109936,0.30820754999999994,0.30820754999999994,100.0,0.0,100.0,2.179061993956566,2,1,1,21.21212121212121,v6_396932e7db2e3f3199,33,exploratory_watchlist,0.345
breakeven_ratchet,short,30,243,243,0,0,27.0,27,1.5857838094234469,1.5857838094234469,-3.740436583757401,0.0020894692362017,0.0020894692362017,0.289645825,0.289645825,100.0,0.0,100.0,2.037513256072998,1,1,2,44.44444444444444,v6_4fe098f35d6b121022,27,early_alpha,0.31882352941176473
multi_tp_sl,short,15,61,61,0,0,23.0,23,1.275841053575277,0.8605754934251308,-1.5472473576664925,0.004056723992154,0.0015830351792275,0.281507675,0.33472385000000004,100.0,0.0,100.0,1.3123049400746822,1,1,1,34.78260869565217,v6_129dfb095d248a5a1a,23,early_alpha,0.3173529411764706
trailing_stop,long,30,3059,3059,151,44,42.0,462,0.5829973146319389,0.1058194320648908,-0.931805744767189,0.0005647784181497,-0.0010768391355872,0.26179755000000005,0.33321015000000004,1.4383785550833605,0.0,100.0,0.5575488787144423,14,1,7,28.57142857142857,v6_8bce7f7c19d93710ed,42,exploratory_watchlist,0.3172058823529411
multi_tp_sl,short,240,14,14,14,0,74.0,74,2.123912423849106,2.123912423849106,-2.2241588681936264,0.0013861569690704,0.0013861569690704,0.31920024999999996,0.31920024999999996,100.0,0.0,100.0,2.5756418704986572,1,1,1,14.864864864864863,v6_b9117f863f9989b2d1,74,validated_watchlist,0.30970588235294116
fixed_tp_sl,long,15,175,175,0,0,20.0,20,1.05457603931427,1.05457603931427,-1.1554325930774212,0.0013954164750874,0.0013954164750874,0.282654525,0.282654525,100.0,0.0,100.0,1.5063054859638214,1,1,1,25.0,v6_d0bfecb4934530e4d6,20,early_alpha,0.30176470588235293
trailing_stop,long,60,3108,3108,1583,1319,56.0,215,0.9057782590389252,-0.1545862527564168,-4.352470487356186,0.0021186010723933,-0.0075559335619769,0.13516062500000003,0.3146533250000001,38.32046332046332,0.0,100.0,0.2971431938931346,15,1,7,20.0,v6_5a202df687fd1344b7,23,early_alpha,0.30014705882352943
time_decay,short,5,271,271,0,0,34.0,34,0.0997458701021969,0.0997458701021969,-0.3909577615559101,0.0014889997384604,0.0014889997384604,0.340484125,0.340484125,0.0,0.0,100.0,0.5514753167517483,1,1,1,32.35294117647059,v6_93f8b7b60d534d8ab2,34,exploratory_watchlist,0.2935294117647059
state_machine,short,120,43,43,0,0,22.0,22,5.887006223201752,4.662005975842476,-5.224158987402916,0.0074200447648763,0.0031325438991189,0.25726502500000004,0.3006163750000001,100.0,0.0,100.0,5.113735422492027,1,1,1,31.818181818181817,v6_4f4e5a187bb5a1a858,22,early_alpha,0.28
indicator_invalidation,long,15,19,19,0,0,22.0,22,0.4996250849217176,0.4996250849217176,-0.834170263260603,0.0009841375673189,0.0009841375673189,0.28675882500000005,0.28675882500000005,100.0,0.0,100.0,0.951354531571269,1,1,1,18.181818181818183,v6_b351694899b3a9ee31,22,early_alpha,0.2785294117647059
partial_ladder,short,60,30,30,0,0,24.0,24,2.1484728902578354,1.056472770869732,-1.90607700496912,0.0044932587280869,0.0012859813593327,0.26544005000000004,0.29906685000000005,100.0,0.0,100.0,1.5082022175192833,1,1,1,20.833333333333336,v6_17c75d63ffb4dce6a1,24,early_alpha,0.2767647058823529
trailing_stop,long,120,2377,2377,1682,668,71.0,186,1.0140661150217056,-0.2795439912006259,-5.224158987402916,-0.0025108507117629,-0.0095899164087139,0.123329875,0.24566305000000002,3.660075725704669,0.0,100.0,0.1721854554489255,25,1,7,18.461538461538463,v6_47e0bd06041a16cb3b,56,validated_watchlist,0.26073529411764707
state_machine,short,60,68,68,0,0,22.0,22,2.613515220582485,2.613515220582485,-5.224158987402916,0.0021124363131821,0.0021124363131821,0.215645125,0.215645125,100.0,0.0,100.0,3.0652446672320366,1,1,1,31.818181818181817,v6_14c469caed6dc55c80,22,early_alpha,0.25264705882352945
runner_trail,short,60,17,17,0,0,22.0,22,1.718742959201336,1.718742959201336,-5.224158987402916,0.0020033606313169,0.0020033606313169,0.20099255,0.20099255,100.0,0.0,100.0,2.1704724058508873,1,1,1,31.818181818181817,v6_635ebb445ce19954ea,22,early_alpha,0.22823529411764706
trailing_stop,short,5,401,401,0,0,22.0,22,-0.1939991721883416,-0.1939991721883416,-0.8010935038328171,-0.0026063007372431,-0.0026063007372431,0.232522275,0.232522275,0.0,0.0,100.0,0.2577302744612098,2,1,2,50.0,v6_22fb648df3d5195c33,22,early_alpha,0.20558823529411765
trailing_stop,short,60,358,358,0,0,23.0,23,-0.2683953614905476,-0.2683953614905476,-1.0904698632657528,-0.0043997541665099,-0.0043997541665099,0.19654527500000002,0.19654527500000002,0.0,0.0,100.0,0.1833340851590038,3,1,1,34.78260869565217,v6_802bf99728b2c3618e,23,early_alpha,0.18455882352941175
trailing_stop,short,30,85,85,0,0,23.0,23,-0.2683953614905476,-0.2683953614905476,-1.0904698632657528,-0.0043997541665099,-0.0043997541665099,0.19654527500000002,0.19654527500000002,0.0,0.0,100.0,0.1833340851590038,1,1,1,34.78260869565217,v6_281d41fbc7eaf543b0,23,early_alpha,0.13955882352941176
